見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）　※～4月20日まで照明工事のため休館します。,,,,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14, 9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,企画展「きのくに神秘の仮面」,展示,2月1日（土）?3月8日（日）　　　,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411, 9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,冬期企画展「古墳から古代寺院へ～紀伊における儀礼の変遷を探る～」,展示,?3月1日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411, 9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,古墳ガイドツアー③,イベント,3月8日（日）13:30?15:30,,小学生以上,30人（先着順）,,2月21日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411, 9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,連続講座「熊野」③,イベント,3月15日（日）13:30?15:30,,小学生以上,30人（先着順）,,2月28日13:00?　,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777 ,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,恐竜をさがせ!!,イベント,3月8日（日）10:00?13:00,山本地区（広川町）,小学生以上（小学生は保護者同伴）,80人（抽選）,,2月23日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777 ,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,巨大アンモナイトをさがせ!! ,イベント,3月22日（日）13:00?16:00,栖原地区（湯浅町）,小学生以上（小学生は保護者同伴）,30人（抽選）,,3月8日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,早春の洋ラン展,イベント,2月7日（金）?9日（日）,,,,,,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,洋ランの育て方教室,イベント, 2月9日（日）9:30?12:00,,,36人（先着順）,300円,事前申込,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,第5回緑和会盆栽展,展示,2月22日（土）?24日（振休）,,,,,,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,春らん早咲き展,展示,3月1日（日）  ,,対象,定員,費用,申込,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,万葉館コンサート～フルート＆クラリネットアンサンブル～,イベント,2月22日（土）14:00?15:00,,3歳以上（小学生以下は保護者同伴）,50人（先着順）　,費用,申込,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,古典学習セミナー「源氏物語の御代（みよ）代わり（全3回）」,イベント,(1)2月23日（祝）,,中学生以上 ,各20人（先着順）,各200円,事前申込 ,入場無料
